DOI,Fig1,Date Published,Author,Cell Type,Salt Conc (M),Electrolyte Salt,Electrolyte Solvent,Proton Donor,Proton Conc (vol%),Alpha,FE%,Rate (nmol/s-cm2),EE%,Current Density (mA/cm2),Passed Charge (C),Applied Voltage (V vs Li+/Li),N2 Pressure (atm/bar),Working Electrode,SSC GDE size (um),Electrode Area (cm2),Other comments
,,1930-12-1,Fichter 1,Autoclave,,,,,,,0.1,,,2,,,1,,,,
,,1930-12-1,Fichter 1,Autoclave,,,,,,,0.07,,,2,,,1,,,,
,,1930-12-1,Fichter 1,Autoclave,,,,,,,1.3,,,2,,,50,,,,
,,1930-12-1,Fichter 1,Autoclave,,,,,,,6.6,,,2,,,500,,,,
,,1930-12-1,Fichter 1,Autoclave,,,,,,,7.5,,,2,,,500,,,,
,y,1930-12-1,Fichter 1,Autoclave,,,,,,1,9.5,,,2,,,1000,,,1,
,y,1930-12-1,Fichter 1,Autoclave,,,,,,1,10.5,,,2,,,1000,,,1,
,y,1930-12-1,Fichter 1,Autoclave,,,,,,1,8,,,2,,,1000,,,1,
doi.org/10.1246/cl.1993.851,,1993-1-1,Tsuneto 1,Autoclave,0.2,LiClO4,THF,EtOH,1,,5,0.345481857365742,,2,50,,1,Cu,,1.5,"wire electrodes, single compartment cell, ammonia quantified colorimetrically"
,,1993-1-1,Tsuneto 1,Autoclave,0.2,LiClO4,THF,EtOH,1,,12.57,0.868541389417476,,2,50,,1,Cu,,1.5,
,y,1993-1-1,Tsuneto 1,Autoclave,0.2,LiClO4,THF,EtOH,1,0.1,28.19,1.94782671182806,,2,50,,5,Cu,,1.5,
,y,1993-1-1,Tsuneto 1,Autoclave,0.2,LiClO4,THF,EtOH,1,0.2,29.324,2.02618199707861,,2,50,,10,Cu,,1.5,
,y,1993-1-1,Tsuneto 1,Autoclave,0.2,LiClO4,THF,EtOH,1,0.6,37.66,2.60216934967877,,2,50,,30,Cu,,1.5,
,y,1993-1-1,Tsuneto 1,Autoclave,0.2,LiClO4,THF,EtOH,1,1,48.9,3.37881256503696,,2,50,,50,Cu,,1.5,
doi.org/10.1016/0022-0728(93)03025-K,,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,EtOH,1,,6,0.414578228838891,,2,50,,1,Fe,,1.5,
,,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,EtOH,1,,8.2,0.566590246079817,,2,50,,1,Ti,,1.5,
,,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,EtOH,1,,7.3,0.504403511753984,,2,50,,1,Mo,,1.5,
,,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,EtOH,1,,6.5,0.449126414575465,,2,50,,1,Ni,,1.5,
,,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,EtOH,1,,5.3,0.366210768807687,,2,50,,1,Cu,,1.5,
,,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,EtOH,1,,8.4,0.580409520374447,,2,50,,1,Ag,,1.5,
,,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,EtOH,1,,4.5,0.155466835814584,,1,50,,1,Zn,,1.5,
,,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,EtOH,1,,0.3,0.0207289114419445,,2,50,,1,Pb,,1.5,
,,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,EtOH,1,,0.5,0.0345481857365742,,2,50,,1,Al,,1.5,
,y,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,EtOH,1,1,57.7,3.98686063400067,,2,50,,50,Fe,,1.5,
,y,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,EtOH,1,1,50.9,3.51700530798326,,2,50,,50,Ti,,1.5,
,y,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,EtOH,1,1,49.2,3.3995414764789,,2,50,,50,Mo,,1.5,
,y,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,EtOH,1,1,46.3,3.19916199920677,,2,50,,50,Ni,,1.5,
,y,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,EtOH,1,1,42.4,2.92968615046149,,2,50,,50,Cu,,1.5,
,,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,EtOH,1,,25.4,1.75504783541797,,2,50,,50,Ag,,1.5,
,,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,EtOH,1,,22.7,0.784243816220235,,1,50,,50,Zn,,1.5,
,,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,EtOH,1,,9.7,0.67023480328954,,2,50,,50,Pb,,1.5,
,,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,EtOH,1,,0.3,0.0207289114419445,,2,50,,50,Al,,1.5,
,,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,EtOH,1,,33.2,1.14699976645426,,1,50,,50,Pd,,1.5,
,,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,EtOH,1,,10.6,0.366210768807687,,1,50,,50,Mg,,1.5,
,,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,EtOH,1,,2.2,0.0760060086204633,,1,50,,50,Pt,,1.5,
,,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,EtOH,1,,1.1,0.0760060086204633,,2,50,,50,Sn,,1.5,
,,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,EtOH,1,,0.6,0.0207289114419445,,1,50,,50,Au,,1.5,
,y,1994-1-1,Tsuneto 2,Autoclave,0.2,LiBF4,THF,EtOH,1,1,54.2,1.87251166692232,,1,50,,50,Cu,,1.5,
,y,1994-1-1,Tsuneto 2,Autoclave,0.2,LiOTf,THF,EtOH,1,1,59.8,2.06598150704714,,1,50,,50,Cu,,1.5,
,,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,none,1,,0.1,0.00690963714731485,,2,50,,50,Cu,,1.5,
,,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,0.18M 2-methyl-2-propanol,1,,1.2,0.0829156457677782,,2,50,,50,Cu,,1.5,
,,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,1-propanol,1,,15.1,1.04335520924454,,2,50,,50,Cu,,1.5,
,y,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,2-propanol,1,1,43.6,3.01260179622927,,2,50,,50,Cu,,1.5,
,,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,Methanol,1,,4.5,0.310933671629168,,2,50,,50,Cu,,1.5,
,,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,H2O,1,,6.2,0.42839750313352,,2,50,,50,Cu,,1.5,
,,1994-1-1,Tsuneto 2,Autoclave,0.2,LiClO4,THF,Acetic acid,1,,0.1,0.00690963714731485,,2,50,,50,Cu,,1.5,
doi.org/10.1016/j.joule.2022.07.009,y,2022-9-21,S Li and Chorkendorff,Autoclave,2,LiBF4,THF,EtOH,1,1,95,328.207764497455,,100,240,,20,porous Cu,,1.5,
,y,2022-9-21,S Li and Chorkendorff,Autoclave,2,LiBF4,THF,EtOH,1,0.1,71,2452.92118729677,7.7,1000,240,,20,porous Cu,,1.5,
